date,monkey,cycle,phase,kg,grade,max_kg_right_20mm,max_right_rel,max_kg_left_20mm,max_left_rel,endurance_20mm,hang_block,meters_per_week
6.5.2018,doripa,2,base,76,6c,55,0.72,48,0.63,,,630
6.5.2018,sunshine,2,base,59,6a+,35,0.59,27,0.46,,,240
